Населённый пункт,Регион,Код ИАТА,Код ИКАО,Внутр. код,Название аэропорта,"Длина ВПП, м","Ширина ВПП, м",Статус,Сайт
"Москва, город",,VKO,UUWW,ВНК,Внуково,3500 м,60 м,"межд., фед. знач.",vnukovo.ru
"Москва, город",,DME,UUDD,ДМД,Домодедово,3794 м,60 м,"межд., фед. знач.",domodedovo.ru
"Москва, город",,OSF,UUMO,ОСФ,Остафьево,2050 м,48 м,"межд., фед. знач.",ostafyevo-airport.ru
"Москва, город",,ZIA,UUBW,РНЦ,Жуковский,5403 м,120 м,"межд., фед. знач.",ramport.aero
"Москва, город",,SVO,UUEE,ШРМ,Шереметьево,3703 м,60 м,"межд., фед. знач.",svo.aero
"Абакан, город",Хакасия,ABA,UNAA,АБН,Абакан,3250 м,45 м,"межд., фед. знач.",abakan.aero
"Айхал, пгт",Якутия,,UERA,АХЛ,Айхал,2000 м,,,"mapalrosa.com,"
"Алдан, город",Якутия,ADH,UEEA,АЛД,Алдан,1376 м,,,aerosever.ru
"Амдерма, посёлок",Ненецкий АО,AMV,ULDD,АМД,Амдерма,2600 м,,,amderma-air.ru
"Анадырь, город",Чукотский АО,DYR,UHMA,АНЫ,Угольный,3500 м,60 м,"межд., фед. знач.",apanadyr.ru
"Анапа, город",Краснодарский край,AAQ,URKA,АНА,Анапа (Витязево),2500 м,45 м,"межд., фед. знач.",basel.aero
"Апатиты, город",Мурманская область,KVK,ULMK,АПХ,Апатиты-Кировск,2500 м,,,hibiny.aero
"Архангельск, город",Архангельская область,,ULAH,ВСЬ,Васьково (МВЛ),2450 м,,,2aoao.ru
"Архангельск, город",Архангельская область,ARH,ULAA,АХГ,Талаги,2500 м,44 м,"межд., фед. знач.",arhaero.ru
"Астрахань, город",Астраханская область,ASF,URWA,АСР,Астрахань (Нариманово),3200 м,45 м,"межд., фед. знач.",аэропортастрахань.рф
"Ачинск, город",Красноярский край,ACS,UNKS,АЧН,Ачинск,2450 м,,,
"Аян, село",Хабаровский край,,UHNA,АЯН,Аян (Мунук),950 м,,,apdv.net
"Багдарин, село",Бурятия,,UIUB,БГД,Багдарин,1700 м,,,buravia.ru
"Байкит, село",Красноярский край,,UNIB,БКТ,Байкит,1640 м,,,ak-krasavia.ru
"Байконур, город",Казахстан,BXY,UAOL,ЛНЙ,Байконур (Крайний),3100 м,,,
"Барнаул, город",Алтайский край,BAX,UNBB,БАН,Барнаул (Михайловка),2850 м,50 м,"межд., фед. знач.",airaltay.ru
"Белая Гора, пгт",Якутия,BGN,UESG,БЯГ,Белая Гора,1800 м,,,aerosever.ru
"Белгород, город",Белгородская область,EGO,UUOB,БЕД,Белгород,2500 м,45 м,межд.,belgorodavia.ru
"Белоярский, город",ХМАО,EYK,USHQ,БЛР,Белоярский,2142 м,,,airportblr.ru
"Берёзово, пгт",ХМАО,EZV,USHB,БЕР,Берёзово,2100 м,,,
"Беринговский, пгт",Чукотский АО,,UHMR,БНГ,Беринговский,1500 м,,,apchukotki.ru
"Билибино, город",Чукотский АО,KPW,UHMK,КПМ,Кепервеем,2000 м,,,apchukotki.ru
"Благовещенск, город",Амурская область,BQS,UHBB,БГЩ,Игнатьево,2800 м,45 м,"межд., фед. знач.",amurair.ru
Бованенково,Ямало-Ненецкий АО,,USDB,БОВ,Бованенково,2657 м,46 м,,
"Богородское, село",Хабаровский край,BQG,UHNB,БГР,Богородское,1400 м,,,apdv.net
Бодайбо,Иркутская область,ODO,UIKB,БДБ,Бодайбо,1600 м,42 м,,bdb-air.ru
"Бор, посёлок",Красноярский край,TGP,UNIP,ПТС,Подкаменная Тунгуска,1600 м,,,
"Братск, город",Иркутская область,BTK,UIBB,БРС,Братск,3160 м,60 м,"межд., фед. знач.",aerobratsk.ru
Брянск,Брянская область,BZK,UUBP,БРЯ,Брянск,2400 м,42 м,"межд., фед. знач.",aero32.ru
Бугульма,Татарстан,UUA,UWKB,БУГ,Бугульма,2000 м,,,bugavia.ru
Бугуруслан,Оренбургская область,,UWWB,БГГ,Бугуруслан (Главный),1100 м,,,
Варандей,Ненецкий АО,VRI,ULDW,ВРЙ,Варандей,1700 м,,,ap-varandey.ru
Великие Луки,Псковская область,VLU,ULOL,ВЕК,Великие Луки,1422 м,,,
Великий Устюг,Вологодская область,VUS,ULWU,ВЕУ,Великий Устюг,1300 м,,,
Витим,Якутия,TLK,UECT,,Талакан,3100 м,,,airport-surgut.ru
"Владивосток, город",Приморский край,VVO,UHWW,ВВО,Кневичи,3500 м,60 м,"межд., фед. знач.",vvo.aero
"Владикавказ, город",Северная Осетия,OGZ,URMO,ВЛА,Беслан,3000 м,45 м,"межд., фед. знач.",mav.aero
"Владимир, город",Владимирская область,,UUBL,ВЛМ,Семязино (МВЛ),1950 м,,,airport33.ru
"Волгоград, город",Волгоградская область,VOG,URWW,ВГГ,Гумрак,3280 м,50 м,"межд., фед. знач.",аэропортволгоград.рф
"Вологда, город",Вологодская область,VGD,ULWW,ВГД,Вологда,1500 м,32 м,фед. знач.,avia35.ru
"Воркута, город",Коми,VKT,UUYW,ВКТ,Воркута,2200 м,,,
"Воронеж, город",Воронежская область,,UUOD,ЬУОД(?),Придача,2400 м,,,
"Воронеж, город",Воронежская область,VOZ,UUOO,ВРН,Чертовицкое,2600 м,45 м,"межд., фед. знач.",voz.aero
Вуктыл,Коми,,UUYK,ВТЛ,Вуктыл,1500 м,,,
"Геленджик, город",Краснодарский край,GDZ,URKG,ГДЖ,Геленджик,3100 м,,,basel.aero
Горно-Алтайск,Алтай,RGK,UNBG,ГОР,Горно-Алтайск,2300 м,45 м,фед. знач.,air-altai.ru
"Грозный, город",Чечня,GRV,URMG,ГРН,Грозный,2500 м,53 м,"межд., фед. знач.",grozny-avia.ru
Диксон,Красноярский край,DKS,UODD,ДИК,Диксон,1500 м,,,
"Екатеринбург, город",Свердловская область,SVX,USSS,КЛЦ,Кольцово,3026 м,53 м,"межд., фед. знач.",koltsovo.ru
Енисейск,Красноярский край,EIE,UNII,ЕНС,Енисейск,2190 м,,,
Жиганск,Якутия,ZIX,UEVV,ЖИГ,Жиганск,1800 м,,,aerosever.ru
Зея,Амурская область,,UHBE,ЗЕЯ,Зея,1640 м,,,apdv.net
"Иваново, город",Ивановская область,IWA,UUBI,ИВВ,Иваново-Южный,2504 м,42 м,фед. знач.,ivavia.ru
Игарка,Красноярский край,IAA,UOII,ИГР,Игарка,2512 м,,,cheremshanka.ru
Игрим,ХМАО,IRM,USHI,ИРМ,Игрим,2030 м,,,
"Ижевск, город",Удмуртия,IJK,USII,ИЖВ,Ижевск,2500 м,45 м,фед. знач.,izhavia.su
Инта,Коми,INA,UUYI,ИНТ,Инта,1450 м,,,
"Иркутск, город",Иркутская область,IKT,UIII,ИКТ,Иркутск,3564 м,45 м,"межд., фед. знач.",iktport.ru
Итуруп,Сахалинская область,ITU,UHSI,ККУ,Итуруп,2300 м,42 м,,arp-sakhalin.ru
"Йошкар-Ола, город",Марий Эл,JOK,UWKJ,ИШО,Йошкар-Ола,2400 м,45 м,фед. знач.,airola.ru
"Казань, город",Татарстан,KZN,UWKD,КЗН,Казань,3750 м,60 м,"межд., фед. знач.",kazan.aero
"Калининград, город",Калининградская область,KGD,UMKK,КЛД,Храброво,2500 м,45 м,"межд., фед. знач.",kgd.aero
"Калуга, город",Калужская область,KLF,UUBC,КЛГ,Калуга (Грабцево),2200 м,45 м,"межд., фед. знач.",airkaluga.ru
Каратайка,Ненецкий АО,,ULDT,КТЙ,Каратайка,550 м,,,
"Кемерово, город",Кемеровская область,KEJ,UNEE,КРВ,Кемерово,3200 м,60 м,"межд., фед. знач.",airkem.ru
"Киров, город",Кировская область,KVX,USKK,КИО,Победилово,2700 м,49 м,фед. знач.,pobedilovo.com
Когалым,Ханты-Мансийский АО,KGP,USRK,КОГ,Когалым,2507 м,,,ns0.kogalymavia.ru
"Комсомольск-на-Амуре, город",Хабаровский край,,UHKD,,Дзёмги,2480 м,80 м,"межд., фед. знач.",
"Комсомольск-на-Амуре, город",Хабаровский край,KXK,UHKK,КСЛ,Хурба,2500 м,,,airksl.ru
Кондинское,Ханты-Мансийский АО,,USHK,,Кондинское,1300 м,60 м,,
Костомукша,Карелия,,ULPM,КСШ,Костомукша (МВЛ),600 м,,,
"Кострома, город",Костромская область,KMW,UUBA,КОР,Сокеркино,1700 м,50 м,фед. знач.,kostroma-avia.ru
"Котлас, город",Архангельская область,KSZ,ULKK,КТС,Котлас,1450 м,,,kotlasaero.ru
"Краснодар, город",Краснодарский край,KRR,URKK,КПА,Пашковский,3000 м,45 м,"межд., фед. знач.",basel.aero
"Краснодар, город",Краснодарский край,,URKN,ЭНЕ,Энем,550 м,,,
Краснокаменск,Забайкальский край,,UIAE,КНК,Краснокаменск,2350 м,,,
"Красноярск, город",Красноярский край,KJA,UNKL,ЕМВ,Емельяново,3700 м,60 м,"межд., фед. знач.",yemelyanovo.ru
"Красноярск, город",Красноярский край,,UNKM,КЯС,Черемшанка,1800 м,35 м,,cheremshanka.ru
Красный Кут,Саратовская область,,UWSK,КСЫ,Красный Кут,1400 м,,,
Курган,Курганская область,KRO,USUU,КГН,Курган,2601 м,42 м,"межд., фед. знач.",airkurgan.ru
Курильск,Сахалинская область,BVV,UHSB,БУР,Буревестник,2383 м,,,
"Курск, город",Курская область,URS,UUOK,КУС,Восточный,2500 м,40 м,межд.,aerokursk.ru
Кызыл,Тыва,KYZ,UNKY,КЫЫ,Кызыл,2700 м,45 м,фед. знач.,tuvaairport.ru
Лешуконское,Архангельская область,LDG,ULAL,ЛЕШ,Лешуконское,1596 м,,,
"Липецк, город",Липецкая область,LPK,UUOL,ЛИП,Липецк,2300 м,45 м,"межд., фед.знач.",lipetsk-airport.ru
Магадан,Магаданская область,,UHMT,МГД,Магадан-13,1450 м,,,
Магадан,Магаданская область,GDX,UHMM,МДС,Сокол,3452 м,"59,5 м","межд., фед. знач.",airport-magadan.ru
Магдагачи,Амурская область,GDG,UHBI,МДЧ,Магдагачи,2120 м,,,
Магнитогорск,Челябинская область,MQF,USCM,МГС,Магнитогорск,3250 м,60 м,"межд., фед. знач.",airmgn.ru
"Мама, посёлок",Иркутская область,,UIKM,,Мама,1662 м,45 м,,
"Махачкала, город",Дагестан,MCX,URML,МХЛ,Уйташ,2640 м,45 м,межд.,mcx.aero
Мезень,Архангельская область,,ULAE,МЗН,Мезень,1450 м,,,
"Минеральные Воды, город",Ставропольский край,MRV,URMM,МРВ,Минеральные Воды,4000 м,60 м,межд.,mvairport.ru
"Мирный, город",Якутия,MJZ,UERR,МИР,Мирный,2800 м,,,alrosa.aero
"Мурманск, город",Мурманская область,MMK,ULMM,МУН,Мурманск,2500 м,45 м,"межд., фед. знач.",airport-murmansk.ru
Мыс Шмидта,Чукотский АО,,UHMI,МШД,Мыс Шмидта,2500 м,,,
Надым,Ямало-Ненецкий АО,NYM,USMM,НДМ,Надым,2548 м,,,avianadym.ru
Назрань,Ингушетия,IGT,URMS,ИНШ,Магас,3000 м,45 м,фед. знач.,aeroport-magas.ru
"Нальчик, город",Кабардино-Балкария,NAL,URMN,НЧК,Нальчик,2200 м,42 м,"межд., фед. знач.",nalchik-airport.ru
Нарьян-Мар,Ненецкий АО,NNM,ULAM,ННР,Нарьян-Мар,2500 м,,фед. знач.,avianao.ru
Нелькан,Хабаровский край,,UHNX,НЛН,Нелькан,2000 м,,,
Нерюнгри,Якутия,NER,UELL,НРГ,Чульман,3600 м,,,aerosever.ru
Нижнеангарск,Бурятия,,UIUN,НЖГ,Нижнеангарск,1653 м,,,
Нижневартовск,Ханты-Мансийский АО,NJC,USNN,НЖВ,Нижневартовск,3200 м,60 м,"межд., фед. знач.",nvavia.ru
"Нижнекамск, город",Татарстан,NBC,UWKE,НЖК,Бегишево,2506 м,42 м,"межд., фед. знач.",nbc.aero
Нижний Новгород,Нижегородская область,GOJ,UWGG,НЖС,Стригино,2805 м,45 м,"межд., фед. знач.",airportnn.ru
Николаевск-на-Амуре,Хабаровский край,NLI,UHNN,НЛК,Николаевск-на-Амуре,1700 м,,,
Никольское,Камчатский край,,UHPX,НИК,Никольское,900 м,,,airkam.ru
Новокузнецк,Кемеровская область,NOZ,UNWW,НВК,Спиченково,2680 м,45 м,"межд., фед. знач.",aerokuz.ru
"Новосибирск, город",Новосибирская область,,UNNE,НВЦ,Ельцовка,2864 м,,,
"Новосибирск, город",Новосибирская область,OVB,UNNT,ТЛЧ,Толмачёво,3597 м,60 м,"межд., фед. знач.",tolmachevo.ru
Новый Уренгой,Ямало-Ненецкий АО,NUX,USMU,НУР,Новый Уренгой,2550 м,,,nux.aero
Ноглики,Сахалинская область,NGK,UHSN,НГЛ,Ноглики,1750 м,35 м,фед. знач.,
Норильск,Красноярский край,NSK,UOOO,НАК,Алыкель,3430 м,,,airport-norilsk.ru
Ноябрьск,Ямало-Ненецкий АО,NOJ,USRO,НОЯ,Ноябрьск,2509 м,,,
Нюксеница,Вологодская область,,UNFE,НЮК,Нюксеница,700 м,,,
Нягань,Ханты-Мансийский АО,NYA,USHN,НЯГ,Нягань,2532 м,,,
Октябрьский,Башкортостан,OKT,UWUK,ОКТ,Октябрьский,1500 м,,,
Олёкминск,Якутия,OLZ,UEMO,ОЛК,Олёкминск,1900 м,,,aerosever.ru
"Омск, город",Омская область,,UNOS,ОМВ,Омск-Северный,3005 м,,,
"Омск, город",Омская область,OMS,UNOO,ОМС,Омск-Центральный,2500 м,45 м,"межд., фед. знач.",aeroomsk.ru
Онега,Архангельская область,,ULAO,ОНА,Онега,700 м,,,
"Оренбург, город",Оренбургская область,REN,UWOO,ОНГ,Оренбург-Центральный,2501 м,42 м,"межд., фед. знач.",orenairport.ru
Орск,Оренбургская область,OSW,UWOR,ОСК,Орск,2900 м,42 м,"межд., фед. знач.",aviaorsk.ru
Оха,Сахалинская область,OHH,UHSH,ОХА,Оха,1300 м,,,airportokha.ru
Охотск,Хабаровский край,OHO,UHOO,ОХТ,Охотск,1780 м,,,apdv.net
Палана,Камчатский край,,UHPL,ПАН,Палана,1440 м,,,airkam.ru
Певек,Чукотский АО,PWE,UHMP,ПЕВ,Певек,2500 м,,,
"Пенза, город",Пензенская область,PEZ,UWPP,ПНА,Пенза,2800 м,,фед. знач.,airport58.ru
"Пермь, город",Пермский край,PEE,USPP,ПРЬ,Большое Савино,3200 м,49 м,"межд., фед. знач.",aviaperm.ru
Петрозаводск,Карелия,PES,ULPB,ПТБ,Бесовец,2500 м,48 м,"межд., фед. знач.",karelavia.ru
